"","V1"
"(Intercept):1",-1.50926810519939
"(Intercept):2",0.849850726305401
"(Intercept):3",2.5694114897102
"particle_polygon_area",0
"particle_polygon_length",0
"convex_hull_area",0.760457325273609
"convex_hull_length",-0.190247330377181
"maximum_dimension_length",0
"maximum_dimension_angle",0
"paris_factor",0
"area_delta_factor",-0.0559491259930777
"angularity",0
"min_rect_min_length",-0.905506894584485
"min_rect_min_length_angle",0
"min_rect_max_length",0
"min_rect_max_length_angle",0
"enclose_length_delta",0
"particle_area",0
"particle_weight",0
"particle_density",-2.36808680093348
